CourseCode,DepartmentName,SemestersSeen,ConsistentAcrossSemesters,Source
102101,Business Administration,3,Yes,Timetable PDFs
102102,Business Administration,3,Yes,Timetable PDFs
102103,Business Administration,3,Yes,Timetable PDFs
102104,Business Administration,3,Yes,Timetable PDFs
102106,Business Administration,3,Yes,Timetable PDFs
102201,Business Administration,3,Yes,Timetable PDFs
102202,Business Administration,2,Yes,Timetable PDFs
103201,Business Administration,3,Yes,Timetable PDFs
103202,Business Administration,3,Yes,Timetable PDFs
103203,Business Administration,1,Yes,Timetable PDFs
103204,Business Administration,3,Yes,Timetable PDFs
103205,Business Administration,3,Yes,Timetable PDFs
103209,Business Administration,3,Yes,Timetable PDFs
103210,Business Administration,3,Yes,Timetable PDFs
103211,Business Administration,3,Yes,Timetable PDFs
103301,Business Administration,2,Yes,Timetable PDFs
103303,Business Administration,3,Yes,Timetable PDFs
103308,Business Administration,2,Yes,Timetable PDFs
103313,Business Administration,2,Yes,Timetable PDFs
103401,Business Administration,3,Yes,Timetable PDFs
103403,Business Administration,2,Yes,Timetable PDFs
103404,Business Administration,3,Yes,Timetable PDFs
103405,Business Administration,3,Yes,Timetable PDFs
103406,Business Administration,1,Yes,Timetable PDFs
103407,Business Administration,1,Yes,Timetable PDFs
103408,Business Administration,3,Yes,Timetable PDFs
103409,Business Administration,2,Yes,Timetable PDFs
202101,Accounting,3,Yes,Timetable PDFs
202102,Accounting,3,Yes,Timetable PDFs
202604,Accounting,1,Yes,Timetable PDFs
202606,Accounting,1,Yes,Timetable PDFs
203201,Accounting,3,Yes,Timetable PDFs
203202,Accounting,3,Yes,Timetable PDFs
203203,Accounting,3,Yes,Timetable PDFs
203205,Accounting,3,Yes,Timetable PDFs
203206,Accounting,3,Yes,Timetable PDFs
203207,Accounting,3,Yes,Timetable PDFs
203208,Accounting,3,Yes,Timetable PDFs
203209,Accounting,2,Yes,Timetable PDFs
203210,Accounting,3,Yes,Timetable PDFs
203301,Accounting,2,Yes,Timetable PDFs
203302,Accounting,3,Yes,Timetable PDFs
203303,Accounting,3,Yes,Timetable PDFs
203304,Accounting,3,Yes,Timetable PDFs
203305,Accounting,3,Yes,Timetable PDFs
203401,Accounting,3,Yes,Timetable PDFs
203402,Accounting,2,Yes,Timetable PDFs
203403,Accounting,3,Yes,Timetable PDFs
203404,Accounting,2,Yes,Timetable PDFs
203405,Accounting,3,Yes,Timetable PDFs
203406,Accounting,1,Yes,Timetable PDFs
203408,Accounting,3,Yes,Timetable PDFs
302201,Banking and Financial Sciences,3,Yes,Timetable PDFs
303202,Banking and Financial Sciences,3,Yes,Timetable PDFs
303203,Banking and Financial Sciences,3,Yes,Timetable PDFs
303205,Banking and Financial Sciences,1,Yes,Timetable PDFs
303210,Banking and Financial Sciences,1,Yes,Timetable PDFs
303301,Banking and Financial Sciences,2,Yes,Timetable PDFs
303302,Banking and Financial Sciences,2,Yes,Timetable PDFs
303303,Banking and Financial Sciences,2,Yes,Timetable PDFs
303304,Banking and Financial Sciences,3,Yes,Timetable PDFs
303305,Banking and Financial Sciences,1,Yes,Timetable PDFs
303306,Banking and Financial Sciences,3,Yes,Timetable PDFs
303401,Banking and Financial Sciences,1,Yes,Timetable PDFs
303402,Banking and Financial Sciences,1,Yes,Timetable PDFs
303403,Banking and Financial Sciences,2,Yes,Timetable PDFs
303407,Banking and Financial Sciences,1,Yes,Timetable PDFs
303601,Accounting,1,Yes,Timetable PDFs
403201,Marketing & Electronic Commerce,3,Yes,Timetable PDFs
403202,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403203,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403204,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
403205,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
403302,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
403304,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
403307,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403308,Marketing & Electronic Commerce,3,Yes,Timetable PDFs
403401,Marketing & Electronic Commerce,3,Yes,Timetable PDFs
403402,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403403,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403405,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
403406,Marketing & Electronic Commerce,2,Yes,Timetable PDFs
403408,Marketing & Electronic Commerce,1,Yes,Timetable PDFs
500011,Foundation Programme,3,Yes,Timetable PDFs
500021,Foundation Programme,3,Yes,Timetable PDFs
500022,Foundation Programme,3,Yes,Timetable PDFs
500023,Foundation Programme,3,Yes,Timetable PDFs
500033,Foundation Programme,3,Yes,Timetable PDFs
502101,Computer Sciences,2,Yes,Timetable PDFs
502103,Computer Sciences,3,Yes,Timetable PDFs
502104,Computer Sciences,1,Yes,Timetable PDFs
502105,Computer Sciences,3,Yes,Timetable PDFs
502202,Computer Sciences,2,Yes,Timetable PDFs
502203,Computer Sciences,1,Yes,Timetable PDFs
502301,Computer Sciences,3,Yes,Timetable PDFs
502302,Computer Sciences,3,Yes,Timetable PDFs
503202,Computer Sciences,1,Yes,Timetable PDFs
503203,Computer Sciences,2,Yes,Timetable PDFs
503204,Computer Sciences,2,Yes,Timetable PDFs
503205,Computer Sciences,1,Yes,Timetable PDFs
503206,Computer Sciences,2,Yes,Timetable PDFs
503210,Computer Sciences,2,Yes,Timetable PDFs
503301,Computer Sciences,3,Yes,Timetable PDFs
503302,Computer Sciences,3,Yes,Timetable PDFs
503303,Computer Sciences,2,Yes,Timetable PDFs
503304,Computer Sciences,2,Yes,Timetable PDFs
503305,Computer Sciences,3,Yes,Timetable PDFs
503401,Computer Sciences,2,Yes,Timetable PDFs
503402,Computer Sciences,1,Yes,Timetable PDFs
503403,Computer Sciences,1,Yes,Timetable PDFs
503404,Computer Sciences,1,Yes,Timetable PDFs
503405,Computer Sciences,2,Yes,Timetable PDFs
503407,Computer Sciences,2,Yes,Timetable PDFs
503409,Computer Sciences,3,Yes,Timetable PDFs
503416,Computer Sciences,2,Yes,Timetable PDFs
503417,Computer Sciences,1,Yes,Timetable PDFs
503419,Computer Sciences,2,Yes,Timetable PDFs
602101,Interior Design,3,Yes,Timetable PDFs
602102,Interior Design,3,Yes,Timetable PDFs
602103,Interior Design,2,Yes,Timetable PDFs
602104,Interior Design,1,Yes,Timetable PDFs
602105,Interior Design,1,Yes,Timetable PDFs
602106,Interior Design,2,Yes,Timetable PDFs
602201,Interior Design,2,Yes,Timetable PDFs
602202,Interior Design,2,Yes,Timetable PDFs
602204,Interior Design,1,Yes,Timetable PDFs
602205,Interior Design,2,Yes,Timetable PDFs
603201,Interior Design,2,Yes,Timetable PDFs
603202,Interior Design,3,Yes,Timetable PDFs
603203,Interior Design,1,Yes,Timetable PDFs
603205,Interior Design,2,Yes,Timetable PDFs
603206,Interior Design,3,Yes,Timetable PDFs
603207,Interior Design,1,Yes,Timetable PDFs
603208,Interior Design,1,Yes,Timetable PDFs
603301,Interior Design,3,Yes,Timetable PDFs
603302,Interior Design,3,Yes,Timetable PDFs
603303,Interior Design,1,Yes,Timetable PDFs
603304,Interior Design,1,Yes,Timetable PDFs
603305,Interior Design,1,Yes,Timetable PDFs
603306,Interior Design,1,Yes,Timetable PDFs
603307,Interior Design,1,Yes,Timetable PDFs
603308,Interior Design,1,Yes,Timetable PDFs
603309,Interior Design,2,Yes,Timetable PDFs
603311,Interior Design,2,Yes,Timetable PDFs
603312,Interior Design,2,Yes,Timetable PDFs
603402,Interior Design,1,Yes,Timetable PDFs
603404,Interior Design,1,Yes,Timetable PDFs
603405,Interior Design,3,Yes,Timetable PDFs
603406,Interior Design,2,Yes,Timetable PDFs
700011,Foundation Programme,3,Yes,Timetable PDFs
700012,Foundation Programme,3,Yes,Timetable PDFs
700013,Foundation Programme,3,Yes,Timetable PDFs
700016,Foundation Programme,3,Yes,Timetable PDFs
700017,Foundation Programme,3,Yes,Timetable PDFs
700018,Foundation Programme,3,Yes,Timetable PDFs
700021,Foundation Programme,3,Yes,Timetable PDFs
700022,Foundation Programme,3,Yes,Timetable PDFs
700023,Foundation Programme,3,Yes,Timetable PDFs
700027,Foundation Programme,3,Yes,Timetable PDFs
700028,Foundation Programme,3,Yes,Timetable PDFs
700031,Foundation Programme,3,Yes,Timetable PDFs
700032,Foundation Programme,3,Yes,Timetable PDFs
700033,Foundation Programme,3,Yes,Timetable PDFs
700034,Foundation Programme,3,Yes,Timetable PDFs
700037,Foundation Programme,3,Yes,Timetable PDFs
700038,Foundation Programme,3,Yes,Timetable PDFs
701101,Foundation Programme,3,Yes,Timetable PDFs
701102,Foundation Programme,3,Yes,Timetable PDFs
701103,Foundation Programme,3,Yes,Timetable PDFs
701105,Business Administration,3,Yes,Timetable PDFs
701108,Accounting,3,Yes,Timetable PDFs
701112,Business Administration,2,Yes,Timetable PDFs
701117,Business Administration,1,Yes,Timetable PDFs
701122,Business Administration,1,Yes,Timetable PDFs
802101,Management Information Systems,3,Yes,Timetable PDFs
803201,Management Information Systems,1,Yes,Timetable PDFs
803202,Management Information Systems,2,Yes,Timetable PDFs
803203,Management Information Systems,2,Yes,Timetable PDFs
803301,Management Information Systems,1,Yes,Timetable PDFs
803302,Management Information Systems,1,Yes,Timetable PDFs
803303,Management Information Systems,1,Yes,Timetable PDFs
803304,Management Information Systems,1,Yes,Timetable PDFs
803401,Management Information Systems,1,Yes,Timetable PDFs
803402,Management Information Systems,2,Yes,Timetable PDFs
803403,Management Information Systems,1,Yes,Timetable PDFs
803405,Management Information Systems,1,Yes,Timetable PDFs
