SemesterCode,SemesterName,CourseCode,Section,Capacity,Enrolled,Source
20201,Fall 2020,102101,1,50,59,Time table 20201.pdf
20201,Fall 2020,102102,1,50,48,Time table 20201.pdf
20201,Fall 2020,102103,1,30,35,Time table 20201.pdf
20201,Fall 2020,102103,2,50,41,Time table 20201.pdf
20201,Fall 2020,102104,1,50,50,Time table 20201.pdf
20201,Fall 2020,102106,1,60,64,Time table 20201.pdf
20201,Fall 2020,102106,2,40,39,Time table 20201.pdf
20201,Fall 2020,102201,1,60,67,Time table 20201.pdf
20201,Fall 2020,102201,2,30,26,Time table 20201.pdf
20201,Fall 2020,103201,1,60,63,Time table 20201.pdf
20201,Fall 2020,103201,2,50,19,Time table 20201.pdf
20201,Fall 2020,103202,1,60,63,Time table 20201.pdf
20201,Fall 2020,103202,2,40,50,Time table 20201.pdf
20201,Fall 2020,103204,1,35,17,Time table 20201.pdf
20201,Fall 2020,103205,1,40,40,Time table 20201.pdf
20201,Fall 2020,103209,1,60,63,Time table 20201.pdf
20201,Fall 2020,103210,1,35,32,Time table 20201.pdf
20201,Fall 2020,103211,1,50,42,Time table 20201.pdf
20201,Fall 2020,103301,2,15,13,Time table 20201.pdf
20201,Fall 2020,103303,2,30,26,Time table 20201.pdf
20201,Fall 2020,103313,1,30,12,Time table 20201.pdf
20201,Fall 2020,103401,1,40,17,Time table 20201.pdf
20201,Fall 2020,103404,1,60,49,Time table 20201.pdf
20201,Fall 2020,103405,1,1,12,Time table 20201.pdf
20201,Fall 2020,103408,1,40,15,Time table 20201.pdf
20201,Fall 2020,202101,1,50,43,Time table 20201.pdf
20201,Fall 2020,202101,2,40,36,Time table 20201.pdf
20201,Fall 2020,202102,1,50,32,Time table 20201.pdf
20201,Fall 2020,202604,1,30,5,Time table 20201.pdf
20201,Fall 2020,202606,1,10,4,Time table 20201.pdf
20201,Fall 2020,203201,1,30,22,Time table 20201.pdf
20201,Fall 2020,203202,1,40,13,Time table 20201.pdf
20201,Fall 2020,203203,1,30,21,Time table 20201.pdf
20201,Fall 2020,203205,1,30,11,Time table 20201.pdf
20201,Fall 2020,203206,1,45,37,Time table 20201.pdf
20201,Fall 2020,203207,1,30,31,Time table 20201.pdf
20201,Fall 2020,203207,2,30,8,Time table 20201.pdf
20201,Fall 2020,203208,1,30,12,Time table 20201.pdf
20201,Fall 2020,203209,1,30,28,Time table 20201.pdf
20201,Fall 2020,203210,1,35,34,Time table 20201.pdf
20201,Fall 2020,203210,2,35,9,Time table 20201.pdf
20201,Fall 2020,203302,1,40,34,Time table 20201.pdf
20201,Fall 2020,203303,1,40,7,Time table 20201.pdf
20201,Fall 2020,203304,1,40,32,Time table 20201.pdf
20201,Fall 2020,203304,2,40,3,Time table 20201.pdf
20201,Fall 2020,203305,1,30,12,Time table 20201.pdf
20201,Fall 2020,203401,1,30,26,Time table 20201.pdf
20201,Fall 2020,203402,1,30,7,Time table 20201.pdf
20201,Fall 2020,203403,2,40,36,Time table 20201.pdf
20201,Fall 2020,203403,3,40,9,Time table 20201.pdf
